318,Airbus A318,107,132,,,,,,,,,,,,
319,Airbus A319,124,156,,,,,,,,,,,,
320,Airbus A320,150,186,,,,,,,,,,,,
321,Airbus A321,185,236,,,,,,,,,,,,
345,Airbus A340-500,293,313,,,,,,,,,,,,
346,Airbus A340-600,326,380,,,,,,,,,,,,
388,Airbus A380-800 Passenger,544,0,,,,,,,,,,,,
731,Boeing  737-100,85,118,,,,,,,,,,,,
732,Boeing 737-200 Passenger,102,130,,,,,,,,,,,,
733,Boeing 737-300,126,149,,,,,,,,,,,,
734,Boeing 737-400,147,168,,,,,,,,,,,,
735,Boeing 737-500,110,132,,,,,,,,,,,,
736,Boeing 737-600,108,130,,,,,,,,,,,,
737,Boeing 737-700,128,148,,,,,,,,,,,,
738,Boeing 737-800 Passenger,160,184,,,,,,,,,,,,
739,Boeing 737-900,177,215,,,,,,,,,,,,
744,Boeing 747-400 Passenger,416,0,,,,,,,,,,,,
762,Boeing 767-200 767-200ER ,174,245,,,,,,,,,,,,
763,Boeing 767-300 Passenger,210,290,,,,,,,,,,,,
764,Boeing 767-400ER,243,409,,,,,,,,,,,,
767,Boeing 767 Passenger,174,409,,,,,,,,,,,,
772,Boeing 777-200 / 200ER,305,313,,,,,,,,,,,,
773,Boeing 777-300ER,368,396,,,,,,,,,,,,
777,Boeing 777,305,396,,,,,,,,,,,,
788,Boeing 787-8,242,359,,,,,,,,,,,,
789,Boeing 787-9,290,406,,,,,,,,,,,,
73F,Boeing 737 Freighter,1,1,,,,,,,,,,,,
73G,Boeing 737-700 Passenger,128,148,,,,,,,,,,,,2
73H,Boeing 737-800 (winglets) Passenger/BBJ2,160,175,,,,,,,,,,,,
73R,Boeing 737-700 Combi,128,148,,,,,,,,,,,,
73W,Boeing 737-700 (winglets) Passenger/BBJ1,128,140,,,,,,,,,,,,
74E,Boeing 747-400 Combi,276,0,,,,,,,,,,,,
74H,Boeing 747-8 Passenger,410,0,,,,,,,,,,,,
7S8,Boeing 737-800 (Scimitar Winglets) Passenger,160,175,,,,,,,,,,,,
AB3,Airbus A300 Passenger,281,345,,,,,,,,,,,,
ABF,Airbus A300 Freighter,0,0,,,,,,,,,,,,
AT7,ATR 72,72,78,,,,,,,,,,,,
CRF,Canadair (Bombardier) Regional Jet Freighter,0,0,,,,,,,,,,,,
E70,Embraer 170,66,72,,,,,,,,,,,,
E90,Embraer 190,96,100,,,,,,,,,,,,
ER4,Embraer RJ145,50,0,,,,,,,,,,,,
SU9,Sukhoi Superjet 100-95,87,108,,,,,,,,,,,,
32S,Airbus A318/319/320/321,107,185,,,,,,,,,,,,
AT3,Aero AT-3,2,0,,,,,,,,,,,,
75D,BOEING 757-200 (75D),199,0,,,,,,,,,,,,
